ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,mntd.obs,mntd.rand.mean,mntd.rand.sd,mntd.obs.rank,mntd.obs.z,mntd.obs.p,Tmin,Tmax,Pmin,Pmax,AET,ETR,WDI,Deglac.,x,y,year,nri,nti,nri_p,nti_p,nri_significant,nti_significant
19,195.9558757,192.0466909,6.571742747,751.5,0.59484751,0.7515,999,122.3385742,119.8218334,16.06078998,501.5,0.156700933,0.5015,-9.174285509,26.81142797,55.93571512,104.0142873,794.4785833,0.93492367,132.250002,20000,-75.75,41.75,0BP,-0.59484751,-0.156700933,0.7515,0.5015,FALSE,FALSE
17,104.3879761,118.7197538,28.32489298,362,-0.505978178,0.362,999,119.7574534,130.2626376,32.9272643,302.5,-0.319042119,0.3025,-14.97285681,27.84857081,26.41428611,105.8142873,754.9285827,0.80630555,-17.07857168,20000,-89.75,43.75,0BP,0.505978178,0.319042119,0.362,0.3025,FALSE,FALSE
21,179.8859208,179.1281931,9.623756134,548,0.07873513,0.548,999,105.483513,116.4462572,23.43428124,356,-0.467807995,0.356,-7.627856972,28.20285651,48.32857215,89.33571562,755.6714398,0.877392269,-29.89285759,20000,-82.75,41.75,0BP,-0.07873513,0.467807995,0.548,0.356,FALSE,FALSE
12,53.25856741,78.70608684,33.65678811,195,-0.756088767,0.195,999,136.4667733,117.4582484,22.23705061,732,0.854813224,0.732,-22.80571378,20.90285668,87.67142988,132.100002,508.7071504,0.985348256,813.5000121,13000,-70.75,47.75,0BP,0.756088767,-0.854813224,0.195,0.732,FALSE,FALSE
7,186.7522477,118.401755,58.48444535,887,1.168695236,0.887,999,195.3428374,162.6847811,37.28313998,746,0.875947046,0.746,14.83285681,32.30928499,32.40000048,236.4714321,1291.721448,0.717786684,-425.6000063,22000,-81.25,25.75,0BP,-1.168695236,-0.875947046,0.887,0.746,FALSE,FALSE
9,66.38281111,77.9523767,24.01812235,269.5,-0.481701501,0.2695,999,104.5953326,119.2255825,20.2935921,187,-0.720929531,0.187,-29.45785648,13.14499971,20.72142888,73.08571537,243.6285751,0.995665212,246.1285751,6000,-71.75,58.75,0BP,0.481701501,0.720929531,0.2695,0.187,FALSE,FALSE
19,152.521955,157.8715045,14.92404374,373,-0.358451746,0.373,999,116.4181283,114.0643827,13.30353426,599,0.176926339,0.599,-16.36428535,25.21785658,61.02857234,104.778573,638.9571524,0.959439647,301.1285759,14000,-79.25,45.25,0BP,0.358451746,-0.176926339,0.373,0.599,FALSE,FALSE
28,165.804979,173.6214759,8.656651308,131,-0.902946942,0.131,999,96.23683426,98.98872938,16.0893307,530,-0.171038508,0.53,-9.045714084,27.08642797,69.92857247,116.5571446,841.3571554,0.978768069,286.7571471,20000,-75.25,41.25,0BP,0.902946942,0.171038508,0.131,0.53,FALSE,FALSE
11,102.2179304,115.8410625,21.13163327,250,-0.644679565,0.25,999,114.2587968,130.318343,15.93000692,99,-1.008131776,0.099,-26.51785655,23.36642805,14.76428593,69.97142961,451.5571496,0.515984126,-160.3428595,13000,-101.75,54.75,0BP,0.644679565,1.008131776,0.25,0.099,FALSE,FALSE
25,179.0909807,181.1263245,9.671896393,416,-0.210438949,0.416,999,104.5738496,107.8488821,18.47579946,461,-0.177260669,0.461,-5.87642844,29.17071363,76.87857257,117.2071446,985.0643004,0.967496282,116.0142874,20000,-74.25,40.75,0BP,0.210438949,0.177260669,0.416,0.461,FALSE,FALSE
24,190.1092162,191.0686003,6.37282957,402,-0.150542879,0.402,999,126.1283317,107.828012,18.20937041,834,1.004994647,0.834,-9.613571214,26.52285655,50.6428579,76.77142972,663.8142956,0.807657311,-10.51428587,15000,-79.25,43.75,0BP,0.150542879,-1.004994647,0.402,0.834,FALSE,FALSE
24,187.4022323,182.3408194,9.682860276,684,0.522718777,0.684,999,113.3850011,106.1042044,18.01995836,698,0.404040706,0.698,-6.694285565,27.06642797,78.54285831,114.3142874,891.2571561,0.959505468,215.3642889,20000,-70.75,41.75,0BP,-0.522718777,-0.404040706,0.684,0.698,FALSE,FALSE
14,183.5904989,169.3389501,15.1682004,804,0.939567545,0.804,999,181.7481131,140.8762627,28.01365072,935,1.458997643,0.935,-5.286428453,25.446428,72.30714393,111.8071445,859.3428699,0.958476809,182.9785742,20000,-71.75,41.25,0BP,-0.939567545,-1.458997643,0.804,0.935,FALSE,FALSE
20,157.9973272,161.0022768,13.47849623,362,-0.222943982,0.362,999,82.82688288,111.3018554,28.3829746,200,-1.003241308,0.2,-8.389999812,29.38571363,53.82857223,106.1571444,838.1357268,0.910861184,50.51428647,20000,-83.75,40.25,0BP,0.222943982,1.003241308,0.362,0.2,FALSE,FALSE
17,115.8056553,130.7324862,19.46840032,166.5,-0.766720977,0.1665,999,98.78996961,111.1444802,12.42874604,108,-0.994027115,0.108,-23.05071377,21.70428523,49.04285787,101.3785729,552.6071511,0.979164428,354.3000053,11000,-84.75,48.25,0BP,0.766720977,0.994027115,0.1665,0.108,FALSE,FALSE
11,94.57237385,110.4132624,35.20954705,423,-0.44990322,0.423,999,108.4443275,124.6893311,21.22292682,238,-0.765445959,0.238,-17.51571389,25.51785657,66.15714384,99.54285863,630.1428665,0.982964434,389.2785772,14000,-73.75,45.75,0BP,0.44990322,0.765445959,0.423,0.238,FALSE,FALSE
17,142.4515042,145.7383715,16.7698847,511,-0.195998205,0.511,999,109.623775,116.3422877,11.55290086,272,-0.581543346,0.272,-14.61142824,25.48285657,77.60000116,104.5500016,667.1571528,0.971306095,421.5571491,16000,-69.25,44.75,0BP,0.195998205,0.581543346,0.511,0.272,FALSE,FALSE
11,127.6140879,145.4717072,19.48482527,168,-0.916488552,0.168,999,106.192946,139.8196953,18.11732606,25,-1.856054761,0.025,-28.15714223,18.59571387,44.2928578,127.0285733,424.8071492,0.986881775,500.2857217,8000,-67.25,52.25,0BP,0.916488552,1.856054761,0.168,0.025,FALSE,TRUE
26,139.8384961,150.4622888,14.12601308,198,-0.752072974,0.198,999,88.87564326,99.39901711,20.87533136,472,-0.504105715,0.472,-8.254999815,28.50285651,79.42857261,117.1000017,936.8357282,0.978039122,254.2642895,20000,-74.25,41.25,0BP,0.752072974,0.504105715,0.198,0.472,FALSE,FALSE
7,21.07744906,58.12511923,46.16752713,179,-0.802461654,0.179,999,134.3341256,146.2841216,20.88363651,126.5,-0.572218158,0.1265,-13.70785684,17.18142819,63.90000095,96.61428715,410.6142918,0.991332077,556.6928654,16000,-55.75,50.75,0BP,0.802461654,0.572218158,0.179,0.1265,FALSE,FALSE
13,186.4457295,163.4657448,26.81581811,792,0.856956316,0.792,999,176.0010212,132.5289987,24.18158868,949,1.797732276,0.949,15.09428538,32.13785642,36.07142911,243.2928608,1388.921449,0.796221012,-249.5000037,22000,-80.75,25.75,0BP,-0.856956316,-1.797732276,0.792,0.949,FALSE,FALSE
17,169.9416001,166.5173084,12.9153988,687.5,0.265132486,0.6875,999,135.848083,134.1219971,24.42440874,567,0.070670529,0.567,-10.55785691,26.67928512,58.13571515,91.50714422,677.7642958,0.896622974,134.250002,20000,-80.25,43.25,0BP,-0.265132486,-0.070670529,0.6875,0.567,FALSE,FALSE
11,54.70118901,75.53451355,41.30302799,415.5,-0.50440187,0.4155,999,141.5959835,120.7421816,23.55714224,798.5,0.885243285,0.7985,-17.15214247,22.49642807,60.22857233,104.078573,588.4000088,0.981624091,391.1071487,13000,-65.75,48.25,0BP,0.50440187,-0.885243285,0.4155,0.7985,FALSE,FALSE
8,147.8390739,141.3024712,20.83902212,643,0.313671279,0.643,999,146.5258969,144.7137405,21.51088126,557,0.084243708,0.557,-28.54714222,18.6992853,38.65000058,117.7428589,415.4714348,0.993037091,431.7928636,8000,-66.75,52.75,0BP,-0.313671279,-0.084243708,0.643,0.557,FALSE,FALSE
5,134.1838243,97.88398464,33.35832741,837,1.088179249,0.837,999,170.0114569,152.8556104,32.70722085,739,0.524527795,0.739,-8.464999811,19.41285671,87.76428702,142.4714307,553.7571511,0.996912713,786.8714403,13000,-53.25,47.25,0BP,-1.088179249,-0.524527795,0.837,0.739,FALSE,FALSE
17,165.7924581,166.746409,13.27111351,479,-0.07188175,0.479,999,121.5360005,117.9678865,13.48986789,622,0.264503255,0.622,-19.023571,24.89999944,25.45714324,101.1500015,673.9428672,0.897283749,80.2500012,15000,-89.75,46.25,0BP,0.07188175,-0.264503255,0.479,0.622,FALSE,FALSE
19,189.6151012,186.2923125,9.114973921,669,0.36454176,0.669,999,115.2908753,121.3495959,14.78710256,336,-0.409730075,0.336,-17.58785675,26.15642799,19.20000029,100.5214301,702.321439,0.7650353,-52.27857221,16000,-91.25,46.25,0BP,-0.36454176,0.409730075,0.669,0.336,FALSE,FALSE
18,163.659777,175.2002212,15.24689214,162,-0.756904695,0.162,999,124.4640309,125.7820136,17.23383619,491,-0.076476457,0.491,-15.8521425,25.77428514,59.42857231,83.95000125,627.1857236,0.922121942,204.4142888,14000,-76.75,44.75,0BP,0.756904695,0.076476457,0.162,0.491,FALSE,FALSE
16,177.8188054,175.8337766,11.29473483,589,0.175748147,0.589,999,130.7286956,121.3304045,16.44163097,703,0.571615502,0.703,-20.86571382,27.40571367,15.25714308,104.7642873,663.6000099,0.540470195,-206.0928602,18000,-94.25,46.75,0BP,-0.175748147,-0.571615502,0.589,0.703,FALSE,FALSE
24,191.663933,189.8407453,6.703122808,599,0.271990802,0.599,999,125.9071441,111.4320697,20.23036195,705,0.715512375,0.705,-9.077142654,26.1957137,69.10714389,94.08571569,752.2357255,0.911227803,153.014288,20000,-78.75,42.75,0BP,-0.271990802,-0.715512375,0.599,0.705,FALSE,FALSE
19,152.3727667,156.5314246,12.85815425,381,-0.323425731,0.381,999,113.2923517,113.5193334,10.90624097,549,-0.020812091,0.549,-21.22285667,26.53857084,14.84285736,104.378573,668.1642957,0.610828046,-149.3142879,18000,-93.75,47.25,0BP,0.323425731,0.020812091,0.381,0.549,FALSE,FALSE
24,175.0484952,166.3244743,13.84659583,742,0.630048058,0.742,999,76.26283325,103.6119922,23.42763802,103,-1.16738866,0.103,-4.534285613,31.52357072,79.18571547,127.492859,1022.342872,0.961369542,180.3000027,22000,-85.75,37.25,0BP,-0.630048058,1.16738866,0.742,0.103,FALSE,FALSE
4,92.68014055,99.87303584,33.41044583,455,-0.215288815,0.455,999,153.7434413,166.5824583,32.74238541,420.5,-0.392122224,0.4205,-26.05142799,22.57142807,32.02857191,96.31428715,505.5500075,0.975501358,224.0642891,9000,-80.25,50.25,0BP,0.215288815,0.392122224,0.455,0.4205,FALSE,FALSE
8,84.60230593,100.326937,29.28059263,347,-0.537032541,0.347,999,142.4780593,135.8524156,24.51158166,633,0.270306657,0.633,-12.17928544,18.43999959,86.32142986,138.5428592,500.521436,0.988414299,833.4000124,12000,-58.25,48.25,0BP,0.537032541,-0.270306657,0.347,0.633,FALSE,FALSE
8,111.3409885,110.2507889,27.54692017,661,0.039576096,0.661,999,143.8829231,139.733865,24.45752609,590,0.169643408,0.59,-28.55214222,18.09428531,20.35714316,102.7571444,404.0642917,0.990107315,264.6071468,9000,-76.75,54.25,0BP,-0.039576096,-0.169643408,0.661,0.59,FALSE,FALSE
